Patch;Square;Plant;PlantFinnish;Monocot;Dicot;Coverage;Herbivory %;Virotic
1367;2;Pilosella officinarum;huopakeltano;0;1;1,5;0;0
1367;2;Agrostis sp;rölli sp;1;0;2;0;0
1367;2;Melica nutans;nuokkuhelmikkä;1;0;0,5;0;0
1367;2;Festuca ovina;lampaannata;1;0;2;0;0
1367;2;Viola riviniana;metsäorvokki;0;1;0,1;0;0
1367;2;Taraxacum sp;voikukka sp;0;1;0,1;0;0
1367;2;Juncus sp;vihvilä sp;1;0;1;0;0
1367;2;Linum catharticum;ahopellava;0;1;0,5;0;0
1367;2;Carex sp;sara sp;1;0;5;0;0
1367;2;Luzula pilosa;kevätpiippo;1;0;0,5;0;0
1367;2;bryophytes ;sammalet;0;0;25;0;0
1367;2;lichens;jäkälät;0;0;0;0;0
1367;3;Plantago lanceolata;heinäratamo;0;1;1;100;50
1367;3;Fragaria vesca;ahomansikka;0;1;2;30;0
1367;3;Galium verum;keltamatara;0;1;4;0;0
1367;3;Ranunculus bulbosus;mäkileinikki;0;1;1;0;40
1367;3;Veronica officinalis;rohtotädyke;0;1;1;100;0
1367;3;Heliantheum nummularium;kultapäivännouto;0;1;0,5;30;0
1367;3;Myosotis arvensis;peltolemmikki;0;1;0,1;0;0
1367;3;Trifolium repens;valkoapila;0;1;0,5;0;0
1367;3;Taraxacum sp;voikukka sp;0;1;0,2;0;0
1367;3;Festuca ovina;lampaannata;1;0;2;0;0
1367;3;Geranium robertianum;haisukurjenpolvi;0;1;0,1;0;0
1367;3;Rosa canina;koiranruusu;0;1;0,2;0;0
1367;3;Poa sp;nurmikka sp;1;0;1;0;0
1367;3;Arenaria serpyllifolia;mäkiarho;0;1;0,1;0;0
1367;3;bryophytes;sammalet;0;0;35;0;0
1367;3;lichens ;jäkälät;0;0;0;0;0
1367;3;Agrostis sp;rölli sp;1;0;2;0;0
9646;1;Plantago lanceolata;heinäratamo;0;1;5;90;20
9646;1;Potentilla argentea;hopeahanhikki;0;1;4;0;0
9646;1;Sedum album;valkomaksaruoho;0;1;3;0;0
9646;1;Vicia tetrasperma;mäkivirvilä;0;1;0,5;0;0
9646;1;Stellaria graminea;heinätähtimö;0;1;0,5;0,1;0
9646;1;Agrostis sp;rölli sp;1;0;40;0;0
9646;1;Veronica arvensis;ketotädyke;0;1;0,2;0;0
9646;1;Myosotis ramosissima;mäkilemmikki;0;1;0,2;0;0
9646;1;Bromus hordeacus;mäkikattara;1;0;1;0;0
9646;1;Lapsana communis;linnunkaali;0;1;1;100;0
9646;1;Draba muralis;vallikynsimö;0;1;0,2;0;0
9646;1;Sedum acre;keltamaksaruoho;0;1;0,1;0;0
9646;1;Poa compressa;litteänurmikka;1;0;0,1;0;0
9646;1;bryophytes;sammalet;0;0;5;0;0
9646;1;lichens;jäkälät;0;0;0;0;0
9646;2;Veronica arvensis;ketotädyke;0;1;0,2;0;0
9646;2;Potentilla argentea;hopeahanhikki;0;1;0,5;0;0
9646;2;Sedum acre;keltamaksaruoho;0;1;1;0;0
9646;2;Vicia hirsuta;peltovirvilä;0;1;3;90;0
9646;2;Galium verum;keltamatara;0;1;4;0;0
9646;2;Plantago lanceolata;heinäratamo;0;1;4;100;50
9646;2;Achillea millefolium;siankärsämö;0;1;0,2;0;0
9646;2;Myosotis ramosissima;mäkilemmikki;0;1;0,2;0;0
9646;2;Fragaria vesca;ahomansikka;0;1;7;1;1
9646;2;Avenula pubescens;mäkikaura;0;1;2;0;100
9646;2;Taraxacum sp;voikukka sp;0;1;3;100;0
9646;2;Lapsana communis;linnunkaali;0;1;0,5;0;0
9646;2;Dactylis glomerata;koiranheinä;1;0;0,5;0;0
9646;2;Geranium molle;pehmytkurjenpolvi;0;1;0,1;0;0
9646;2;Elymus repens;juolavehnä;1;0;0,5;0;0
9646;2;Saxifraga granulata;papelorikko;0;1;0,1;0;0
9646;2;Festuca rubra;punanata;1;0;2;0;0
9646;2;Arobidopsis thaliana;lituruoho;0;1;0,1;0;0
9646;2;Draba muralis;vallikynsimö;0;1;0,1;0;0
9646;2;bryophytes;sammalet;0;0;35;0;0
